date,stockpile_m2,stockpile_ha,stockpile_fraction
2025-04-14,228300.0,22.8300,0.1585
2025-04-16,187900.0,18.7900,0.1305
2025-04-23,202500.0,20.2500,0.1406
2025-05-01,228300.0,22.8300,0.1585
2025-05-24,229100.0,22.9100,0.1591
2025-06-02,291500.0,29.1500,0.2024
2025-06-03,272600.0,27.2600,0.1893
2025-06-05,258700.0,25.8700,0.1797
2025-06-08,329600.0,32.9600,0.2289
2025-06-10,273800.0,27.3800,0.1901
2025-06-15,262500.0,26.2500,0.1823
2025-06-30,386300.0,38.6300,0.2683
2025-07-03,351200.0,35.1200,0.2439
2025-07-05,391400.0,39.1400,0.2718
2025-07-08,342400.0,34.2400,0.2378
2025-07-12,456200.0,45.6200,0.3168
2025-07-13,461100.0,46.1100,0.3202
2025-07-15,370300.0,37.0300,0.2572
2025-07-23,466700.0,46.6700,0.3241
2025-07-28,367600.0,36.7600,0.2553
2025-07-30,467800.0,46.7800,0.3249
2025-08-12,394200.0,39.4200,0.2737
2025-08-21,335100.0,33.5100,0.2327
2025-08-22,362900.0,36.2900,0.2520
2025-09-13,355300.0,35.5300,0.2467
2025-09-16,242600.0,24.2600,0.1685
2025-09-18,217600.0,21.7600,0.1511
2026-01-16,49400.0,4.9400,0.0343
2026-01-19,61100.0,6.1100,0.0424
2026-01-21,52800.0,5.2800,0.0367
2026-01-24,50100.0,5.0100,0.0348
2026-03-27,158500.0,15.8500,0.1101
